Tempo do vetor aleatorio tamanho 16: 848
Tempo do vetor aleatorio tamanho 32: 859
Tempo do vetor aleatorio tamanho 64: 1226
Tempo do vetor aleatorio tamanho 128: 2086
Tempo do vetor aleatorio tamanho 256: 3352
Tempo do vetor aleatorio tamanho 512: 4632
Tempo do vetor aleatorio tamanho 1024: 10637
Tempo do vetor aleatorio tamanho 2048: 24606
Tempo do vetor aleatorio tamanho 4096: 40615
Tempo do vetor aleatorio tamanho 8192: 88004
Tempo do vetor aleatorio tamanho 16384: 135617
Tempo do vetor Crescente tamanho 16: 563
Tempo do vetor Crescente tamanho 32: 677
Tempo do vetor Crescente tamanho 64: 1184
Tempo do vetor Crescente tamanho 128: 2093
Tempo do vetor Crescente tamanho 256: 3518
Tempo do vetor Crescente tamanho 512: 6070
Tempo do vetor Crescente tamanho 1024: 9960
Tempo do vetor Crescente tamanho 2048: 24854
Tempo do vetor Crescente tamanho 4096: 39433
Tempo do vetor Crescente tamanho 8192: 79908
Tempo do vetor Crescente tamanho 16384: 245208
Tempo do vetor Decrescente P40 tamanho 64: 1058
Tempo do vetor Decrescente P40 tamanho 128: 1643
Tempo do vetor Decrescente P40 tamanho 256: 2060
Tempo do vetor Decrescente P40 tamanho 512: 4179
Tempo do vetor Decrescente P40 tamanho 1024: 13014
Tempo do vetor Decrescente P40 tamanho 2048: 22027
Tempo do vetor Decrescente P40 tamanho 4096: 62149
Tempo do vetor Decrescente P40 tamanho 8192: 101864
Tempo do vetor Decrescente P40 tamanho 16384: 151244
Tempo do vetor Decrescente P50 tamanho 16: 593
Tempo do vetor Decrescente P50 tamanho 32: 692
Tempo do vetor Decrescente P50 tamanho 64: 1028
Tempo do vetor Decrescente P50 tamanho 128: 2107
Tempo do vetor Decrescente P50 tamanho 256: 3328
Tempo do vetor Decrescente P50 tamanho 512: 5288
Tempo do vetor Decrescente P50 tamanho 1024: 13776
Tempo do vetor Decrescente P50 tamanho 2048: 26749
Tempo do vetor Decrescente P50 tamanho 4096: 37678
Tempo do vetor Decrescente P50 tamanho 8192: 112482
Tempo do vetor Decrescente P50 tamanho 16384: 260308

