Tempo do vetor aleatorio tamanho 16: 925
Tempo do vetor aleatorio tamanho 32: 1077
Tempo do vetor aleatorio tamanho 64: 2100
Tempo do vetor aleatorio tamanho 128: 4491
Tempo do vetor aleatorio tamanho 256: 10525
Tempo do vetor aleatorio tamanho 512: 23829
Tempo do vetor aleatorio tamanho 1024: 62993
Tempo do vetor aleatorio tamanho 2048: 125500
Tempo do vetor aleatorio tamanho 4096: 278666
Tempo do vetor aleatorio tamanho 8192: 576399
Tempo do vetor aleatorio tamanho 16384: 1261602
Tempo do vetor Crescente tamanho 16: 706
Tempo do vetor Crescente tamanho 32: 954
Tempo do vetor Crescente tamanho 64: 1363
Tempo do vetor Crescente tamanho 128: 2163
Tempo do vetor Crescente tamanho 256: 3711
Tempo do vetor Crescente tamanho 512: 7086
Tempo do vetor Crescente tamanho 1024: 13945
Tempo do vetor Crescente tamanho 2048: 28288
Tempo do vetor Crescente tamanho 4096: 61831
Tempo do vetor Crescente tamanho 8192: 127886
Tempo do vetor Crescente tamanho 16384: 299130
Tempo do vetor Decrescente P40 tamanho 64: 1706
Tempo do vetor Decrescente P40 tamanho 128: 2646
Tempo do vetor Decrescente P40 tamanho 256: 3768
Tempo do vetor Decrescente P40 tamanho 512: 6826
Tempo do vetor Decrescente P40 tamanho 1024: 12542
Tempo do vetor Decrescente P40 tamanho 2048: 25469
Tempo do vetor Decrescente P40 tamanho 4096: 62872
Tempo do vetor Decrescente P40 tamanho 8192: 114528
Tempo do vetor Decrescente P40 tamanho 16384: 229091
Tempo do vetor Decrescente P50 tamanho 16: 638
Tempo do vetor Decrescente P50 tamanho 32: 803
Tempo do vetor Decrescente P50 tamanho 64: 1209
Tempo do vetor Decrescente P50 tamanho 128: 1954
Tempo do vetor Decrescente P50 tamanho 256: 3424
Tempo do vetor Decrescente P50 tamanho 512: 6323
Tempo do vetor Decrescente P50 tamanho 1024: 12541
Tempo do vetor Decrescente P50 tamanho 2048: 26206
Tempo do vetor Decrescente P50 tamanho 4096: 54582
Tempo do vetor Decrescente P50 tamanho 8192: 121376
Tempo do vetor Decrescente P50 tamanho 16384: 239823

