Tempo do vetor aleatorio tamanho 16: 1088
Tempo do vetor aleatorio tamanho 32: 642
Tempo do vetor aleatorio tamanho 64: 1109
Tempo do vetor aleatorio tamanho 128: 3339
Tempo do vetor aleatorio tamanho 256: 9443
Tempo do vetor aleatorio tamanho 512: 28301
Tempo do vetor aleatorio tamanho 1024: 97258
Tempo do vetor aleatorio tamanho 2048: 363263
Tempo do vetor aleatorio tamanho 4096: 1432635
Tempo do vetor aleatorio tamanho 8192: 5714718
Tempo do vetor aleatorio tamanho 16384: 22274135
Tempo do vetor Crescente tamanho 16: 695
Tempo do vetor Crescente tamanho 32: 548
Tempo do vetor Crescente tamanho 64: 645
Tempo do vetor Crescente tamanho 128: 1978
Tempo do vetor Crescente tamanho 256: 2615
Tempo do vetor Crescente tamanho 512: 4122
Tempo do vetor Crescente tamanho 1024: 6014
Tempo do vetor Crescente tamanho 2048: 8295
Tempo do vetor Crescente tamanho 4096: 17022
Tempo do vetor Crescente tamanho 8192: 31980
Tempo do vetor Crescente tamanho 16384: 63698
Tempo do vetor Decrescente P40 tamanho 32: 609
Tempo do vetor Decrescente P40 tamanho 64: 1028
Tempo do vetor Decrescente P40 tamanho 128: 2044
Tempo do vetor Decrescente P40 tamanho 256: 5309
Tempo do vetor Decrescente P40 tamanho 512: 17772
Tempo do vetor Decrescente P40 tamanho 1024: 65717
Tempo do vetor Decrescente P40 tamanho 2048: 260473
Tempo do vetor Decrescente P40 tamanho 4096: 1014392
Tempo do vetor Decrescente P40 tamanho 8192: 4124264
Tempo do vetor Decrescente P40 tamanho 16384: 16340988
Tempo do vetor Decrescente P50 tamanho 16: 785
Tempo do vetor Decrescente P50 tamanho 32: 644
Tempo do vetor Decrescente P50 tamanho 64: 921
Tempo do vetor Decrescente P50 tamanho 128: 1733
Tempo do vetor Decrescente P50 tamanho 256: 4011
Tempo do vetor Decrescente P50 tamanho 512: 12908
Tempo do vetor Decrescente P50 tamanho 1024: 46601
Tempo do vetor Decrescente P50 tamanho 2048: 185779
Tempo do vetor Decrescente P50 tamanho 4096: 717444
Tempo do vetor Decrescente P50 tamanho 8192: 2905201
Tempo do vetor Decrescente P50 tamanho 16384: 11289199
